Id,ReportName,KeyTag
1,Increment Letter,#RefNo &nbsp &nbsp #JoiningDate &nbsp &nbsp #PreviousSalary &nbsp &nbsp #CreatedDate &nbsp &nbsp #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #OfficeName &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #PreviousGrade &nbsp &nbsp #NewGrade &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #NewAgreementStartDate &nbsp &nbsp #NewAgreementEndDate &nbsp &nbsp #PreviousAgreementEndDate &nbsp &nbsp #NextIncrementDate &nbsp &nbsp #CurrentDate &nbsp &nbsp #NoOfIncrement &nbsp &nbsp #PresentAddress &nbsp &nbsp #IncrementAmount
2,Promotion Letter,#JoiningDate &nbsp &nbsp #PreviousSalary &nbsp &nbsp #CreatedDate &nbsp &nbsp #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #PreviousGrade &nbsp &nbsp #NewGrade &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #EffectiveFrom &nbsp &nbsp #CurrentDate &nbsp &nbsp #PreviousDesignation &nbsp &nbsp #NewDesignation &nbsp &nbsp #NewSalary &nbsp &nbsp #NoOfPromotion &nbsp &nbsp #RefNo
3,Restructuring Letter,#JoiningDate &nbsp &nbsp #PreviousSalary &nbsp &nbsp #CreatedDate &nbsp &nbsp #OfficeName &nbsp &nbsp #CompanyAddress  &nbsp &nbsp #CompanyName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #EndDate &nbsp &nbsp #NowDate &nbsp &nbsp #EffectDate &nbsp &nbsp #StartDate &nbsp &nbsp #DesignationName &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId
4,Appointment Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup
5,Leave Application,"#EmployeeId &nbsp #EmployeeName &nbsp #JoiningDate &nbsp #Designation &nbsp #Department &nbsp #Year &nbsp #LastLeaveDate<br/> For Entitled Leave, Add <b>#</b> before the short name of leave type and after the short name of leave type add <b>YearlyAllow</b> Example of Sick leave:-  #SLYearlyAllow
<br/> For Taken Leave, Add <b>#</b> before the short name of leave type and after the short name of leave type add <b>Taken</b> Example of Sick leave:- #SLTaken <br/> For Balance Leave, Add <b>#</b> before the short name of leave type and after the short name of leave type add <b>Balance</b> Example of Sick leave:- #SLBalance"
6,Age Verification,#CurrentDate #CompanyName #CompanyAddress #EmployeeId #EmployeeName #Gender #FatherName #MotherName #DateOfBirth #PermanentAddress #PesentAddress #DesignationName #DepartmentName #FloorName #SectionName #TotalAgeInYear 
7,Custom Report,#RefNo &nbsp &nbsp #CompanyName &nbsp; &nbsp; #CompanyAddress &nbsp; &nbsp; #OfficeName &nbsp; &nbsp; #CurrentDate &nbsp; &nbsp; #OfficeAddress &nbsp; &nbsp; #OfficeName &nbsp; &nbsp; #EmployeeId &nbsp; &nbsp; #EmployeeName &nbsp; &nbsp; #EmployeeNameBangla &nbsp; &nbsp; #Department &nbsp; &nbsp; #Designation &nbsp; &nbsp; #Grade &nbsp; &nbsp; #DateOfDiscontinuation &nbsp; &nbsp; #JoiningDate &nbsp; &nbsp; #WorkType &nbsp; &nbsp; #AttendenceCardNo &nbsp; &nbsp; #BankAccNo &nbsp; &nbsp; #OfficialEmail &nbsp; &nbsp; #ContractStartDate &nbsp; &nbsp; #ContractEndDate &nbsp; &nbsp; #ConfirmationDate &nbsp; &nbsp; #IsOTPayable &nbsp; &nbsp; #IsLefty &nbsp; &nbsp; #BankName &nbsp; &nbsp; #Gross &nbsp; &nbsp; #CV &nbsp; &nbsp; #HR &nbsp; &nbsp; #MA &nbsp; &nbsp; #FA &nbsp; &nbsp; #Basic &nbsp; &nbsp; #Floor &nbsp; &nbsp; #Section &nbsp; &nbsp; #Identifier &nbsp; &nbsp; #IsRoastaringDuty &nbsp; &nbsp; #Shift &nbsp; &nbsp; #JobLocation &nbsp; &nbsp; #ProbationPeriod &nbsp; &nbsp; #PaymentMode &nbsp; &nbsp; #LastPresentDate &nbsp; &nbsp; #ServiceAge &nbsp; &nbsp; #FatherName &nbsp; &nbsp; #MotherName &nbsp; &nbsp; #SpouseName &nbsp; &nbsp; #DateOfBirth &nbsp; &nbsp; #Gender &nbsp; &nbsp; #Religion &nbsp; &nbsp; #Nationality &nbsp; &nbsp; #NationalIdNo &nbsp; &nbsp; #TIN &nbsp; &nbsp; #BloodGroup &nbsp; &nbsp; #MaritalStatus &nbsp; &nbsp; #NoOfChildren &nbsp; &nbsp; #Email &nbsp; &nbsp; #Height &nbsp; &nbsp; #EmergencyContactName &nbsp; &nbsp; #EmergencyContactAddress &nbsp; &nbsp; #EmergencyContactNo &nbsp; &nbsp; #EmergencyContactPersonRelation &nbsp; &nbsp; #EmployeeAge &nbsp; &nbsp; #PresentAddress_1 &nbsp; &nbsp; #PermanentAddress_1 &nbsp; &nbsp; #NomineeName_1 &nbsp; &nbsp; #NomineeContactAddess_1 &nbsp; &nbsp; #NomineeEmail_1 &nbsp; &nbsp; #NomineeGender_1 &nbsp; &nbsp; #NomineeRelation_1 &nbsp; &nbsp; #NomineeDateOfBirth_1 &nbsp; &nbsp; #PassportNo &nbsp; &nbsp; #PassportIssuingAuthority &nbsp; &nbsp; #PassportRemarks &nbsp; &nbsp; #PassportExpireDate &nbsp; &nbsp; #PassportIssueDate &nbsp; &nbsp; #AcademicInfoBoardOrUniversity_1 &nbsp; &nbsp; #AcademicInfoGroupName_1 &nbsp; &nbsp; #AcademicInfoInstitution_1 &nbsp; &nbsp; #AcademicInfoLevel_1 &nbsp; &nbsp; #AcademicInfoResult_1 &nbsp; &nbsp; #AcademicInfoSession_1 &nbsp; &nbsp; #AcademicInfoPassingYear_1 &nbsp; &nbsp;  #AcademicInfoDegree_1 &nbsp; &nbsp; #TraningStartDate_1 &nbsp; &nbsp; #TraningEndDate_1 &nbsp; &nbsp; #TraningTitle_1 &nbsp; &nbsp; #TraningTopics_1 &nbsp; &nbsp; #TraningVenue_1 &nbsp; &nbsp; #ExperienceOfDepartment_1 &nbsp; &nbsp; #ExperienceOfDesignation_1 &nbsp; &nbsp; #ExperienceOfOrganization_1 &nbsp; &nbsp; #ExperienceOfResponsibilitie_1 &nbsp; &nbsp; #ExperienceStartDate_1 &nbsp &nbsp #ExperienceEndDate_1
8,Lefty Letter 1,#CurrentDate &nbsp &nbsp #JoiningDate &nbsp &nbsp #AbsentDateForm &nbsp &nbsp #LastPresentDate &nbsp &nbsp #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #SpouseName
9,Lefty Letter 2,#JoiningDate &nbsp &nbsp #AbsentDateForm &nbsp &nbsp #LastPresentDate &nbsp &nbsp #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #AbsentForm &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #CurrentDate &nbsp &nbsp #SpouseName &nbsp &nbsp #FirstLetterCreatedDate
10,Lefty Letter 3,#JoiningDate &nbsp &nbsp #AbsentDateForm &nbsp &nbsp #LastPresentDate &nbsp &nbsp #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #AbsentForm &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #CurrentDate &nbsp &nbsp #SpouseName  &nbsp &nbsp #FirstLetterCreatedDate &nbsp &nbsp #SecondLetterCreatedDate
12,Declaration letter,#CompanyAddress #CompanyName #DesignationName #EmployeeName #EmployeeId #CurrentDate #JoiningDate
15,Job Permanent Letter,#CurrentDate #CompanyName  #CompanyAddress #Age #OfficeName  #DesignationName #DepartmentName #Grade #EmployeeName #EmployeeId #FatherName #MotherName  #FloorName  #SectionName #PresentAddress #PermanentAddress #PhoneNumber #Religion #Nationality #NationalId #Gross #Experience  #EducationQualification  #Religion #JobConfirmationDate #Gross #Basic #HR #CV #FA #MA
18,Nominee Legacy,#CompanyName #CompanyAddress #JoiningDate #OfficeName #DesignationName  #DepartmentName #EmployeeName  #EmployeeId  #NomineeAddress  #NomineeName  #Relation  #CurrentDate
20,Certificate Of Employment,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup
21,Experience Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup &nbsp &nbsp #DateOfDiscontinuation &nbsp &nbsp #ServiceAge
22,No Objection Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup &nbsp &nbsp #DateOfDiscontinuation &nbsp &nbsp #ServiceAge &nbsp &nbsp #PassportNo &nbsp &nbsp #IssueDate &nbsp &nbsp #ExpiryDate &nbsp &nbsp #Nationality &nbsp &nbsp #DateFrom  &nbsp &nbsp   #DateTo &nbsp &nbsp    #CountryName
23,Clearance Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup &nbsp &nbsp #DateOfDiscontinuation &nbsp &nbsp #TotalServiceAge
25,Clearance Letter(MIR),
26,Experience Letter Active(MIR),
27,Experience Letter Inactive(MIR),
28,Visa Letter(MIR),
